Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count
Thruster,0,1,0,12,3
Rabby Wallet,0,0,0,15,5
Token Metrics,0,0,1,4,6
Tari,0,1,0,8,8
Imaginary Ones,0,1,1,8,6
Glacier Network,0,1,0,18,5
Zyfi,0,1,0,13,4
Aethir,0,1,0,11,3
Storm Trade,0,1,1,9,2
Holograph,0,1,0,8,4
Phaver,1,1,0,16,6
EigenLayer,0,1,0,15,3
Elfin,0,1,0,10,7
Masa,0,1,0,14,7
SpaceCatch,0,1,1,9,7
Mande Network,0,1,0,10,4
Xtremeverse,0,1,0,9,3
Fyde,0,1,0,10,4
Ekubo,0,1,0,7,5
CAGA,0,1,1,8,5
Sanctum,0,0,0,19,3
zkPass,0,0,2,8,5
Nyan Heroes,0,1,0,9,5
My Lovely Planet,0,1,0,7,4
Tabi,0,1,0,11,6
Mode,0,1,0,24,7
Particle Network,0,1,0,17,4
XSwap,0,1,0,11,7
ZeroLend,0,1,0,9,6
Aperture Finance,0,1,0,12,5
Primex,1,1,0,20,5
MYTH,0,1,2,5,4
Immutable,1,1,0,22,9
Drift Protocol,0,0,0,11,5
Another-1,0,1,3,10,5
Raiinmaker,0,1,3,9,5
Renzo,0,1,0,22,5
Blackwing,0,1,0,11,4
Kamino,0,1,0,14,7
Saltwater Games,0,1,2,10,6
UpRock,0,1,1,9,3
LunarStorm,0,1,3,5,6
Revolving Games,0,0,0,8,4
PlanetQuest,0,1,1,12,4
Zoth,0,1,0,12,5
IntentX,0,1,0,14,4
BeFi Labs,0,1,0,5,6
Reya Network,0,1,0,11,4
Moongate,0,1,1,11,5
Sophon,0,0,0,5,2
Pixelverse,0,0,1,8,5
Apillon,0,1,1,10,5
Bemo,0,1,0,11,3
MilkyWay,0,1,0,10,6
Astaria,0,1,0,11,5
BSX,0,0,0,9,4
OrangeLayer,0,1,0,7,3
InceptionLRT,0,1,0,9,5
MANTRA,0,1,0,6,8
BounceBit,0,1,0,12,4
BlastOff,0,1,0,13,4
Soarchain,0,1,0,19,6
Elixir,0,1,0,15,4
Omni Network,0,1,0,15,8
Solv Protocol,0,1,0,13,5
Planet Mojo,0,0,2,5,5
Parcl,0,1,0,17,6
DTX,0,1,0,15,4
Cryptopia,0,1,1,10,6
Ultimate Digits,0,1,0,6,4
Zeta,0,1,0,13,4
MPRO Lab,0,1,1,5,5
Juice,0,1,0,18,5
deBridge,0,1,0,11,8
Karak,0,1,0,12,5
RedStone,0,1,2,11,5
Tensor,0,1,0,8,6
Pac Finance,0,1,0,13,3
OverTrip,0,0,2,7,2
BlockGames,0,0,0,10,7
Grass,0,1,0,14,3
Warden Protocol,0,1,0,11,6
Base Name Service,0,1,0,11,3
Scallop,0,1,0,11,5
SynFutures,0,1,0,15,5
Orderly Network,0,1,0,8,4
StarryNift,0,1,0,12,5
Wormhole,0,1,0,11,9
Hava Coin,0,1,0,6,4
Battle Showdown: Gambit,0,1,1,13,6
Ethena,0,1,0,16,8
Nibiru Chain,0,1,0,7,9
Data Ownership Protocol,0,1,0,7,4
Pryzm,0,1,0,8,5
COTI,0,1,0,12,11
A51,0,1,0,9,6
ZKE Exchange,0,0,1,10,4
Sharpe,0,1,1,11,5
Aries Markets,0,1,0,16,4
Elys Network,0,1,0,9,6
Haven1,0,1,0,13,6
Helix,0,0,0,9,4
Kelp DAO,0,1,0,13,4
mySwap,0,0,0,6,4
Braavos,0,1,0,7,5
Tortuga Finance,0,1,0,11,3
BNB Chain,0,1,0,25,9
Aptin Finance,0,1,0,10,5
UniRouter,0,1,2,5,4
Aptos,0,1,0,10,9
beoble,0,1,0,10,6
Param Gaming,0,0,1,9,3
XYRO,0,0,0,9,4
Plena,0,0,1,7,7
Polyhedra Network,0,1,0,7,4
ether.fi,0,1,0,12,6
DFlow,0,1,0,10,3
zkLend,0,1,0,16,5
Defispot,0,1,0,12,3
CyberConnect,1,1,0,29,8
Boson Protocol,0,1,0,10,9
Metis,0,1,0,7,12
DistrictOne,0,1,0,16,3
Layer3,0,1,0,8,3
Entangle,0,1,0,11,3
Panther Protocol,0,1,0,12,8
Memecoin,0,1,1,6,6
Teller,0,1,0,10,5
Gomble Games,0,1,0,7,4
Parallel Network,0,1,0,14,4
Ouinex,0,1,2,8,5
Mocaverse,0,0,0,11,4
Venom,0,1,0,3,5
SYNTHR,0,1,0,13,4
Wen Exchange,0,1,0,8,3
YOLO Games,0,1,0,14,3
Aark Digital,1,1,2,27,5
Lava,0,1,1,12,4
Blast,0,0,0,19,3
InvArch,0,0,0,9,6
KiloEx,0,1,0,9,5
Avantis,0,1,0,11,4
Zircuit,0,1,0,20,3
Hana Network,0,0,0,9,4
tea,0,1,0,10,6
MetaStreet,0,1,0,15,5
NuLink,0,1,1,9,5
Ambit Finance,0,1,0,14,5
Smart Layer,0,1,1,9,8
MON Protocol,0,0,1,10,2
Rio Network,0,1,0,10,4
Optimism,1,1,0,21,8
Blaster,0,0,0,8,3
StarkNet,0,1,0,16,8
AltLayer,0,1,0,9,8
Pixels,1,1,0,22,7
Kinetix Finance,0,1,0,9,6
Aftermath Finance,0,1,0,10,4
AVNU,0,1,0,10,5
Bluefin,0,1,0,13,5
Overlay Protocol,0,1,0,9,4
ClayStack,0,1,0,10,4
Retro Bridge,0,1,0,13,5
Dymension,0,1,0,20,6
INIT Capital,0,1,0,12,4
B² Network,0,1,0,13,6
Pike,0,1,0,12,4
ZetaChain,1,1,0,22,9
Partisia Blockchain,0,1,0,8,8
Jupiter,0,1,0,13,6
Aether,0,0,0,9,3
Nostra,0,1,0,14,4
edeXa,1,1,0,23,4
Undeads,0,1,0,9,7
Aether Games,0,1,0,17,6
Dmail Network,0,1,0,15,6
Presearch,1,1,0,17,10
Bitcoin Virtual Machine,0,1,0,10,2
StackingDAO,0,1,0,10,5
NAVI Protocol,0,1,0,9,5
Mind Network,0,1,0,12,8
XION,0,1,0,13,4
Ready To Fight,0,0,0,28,5
BRC-20 DEX,0,1,0,14,5
Web3Go,0,1,0,8,6
Berachain,0,1,0,19,6
Synonym,0,1,0,13,2
eesee,0,1,1,9,5
Unigraph Protocol,0,0,0,14,5
Virtual Labs,0,1,0,15,4
Manta Network,1,1,0,33,6
Sound.xyz,0,1,0,10,4
Reveel,0,1,0,8,4
Rain.fi,0,1,0,9,3
CARV,0,1,0,14,7
Swell,0,1,0,12,5
Frame,0,1,1,8,3
TeleportDAO,0,1,0,14,3
Seamless Protocol,0,1,0,31,8
BRC20,0,1,0,14,4
Kinza Finance,0,1,0,10,6
Elusiv,0,1,0,9,5
Phoenix,0,1,0,7,3
Marinade,0,0,0,9,7
Jito,0,1,0,8,7
Term Structure,0,1,0,9,5
Affine,0,1,0,7,6
NovaDEX,0,1,0,10,5
Futureverse,0,1,0,7,3
Script Network,1,1,1,24,5
Hinkal,0,1,0,11,5
Patex,0,0,0,12,6
Pyth Network,0,1,0,26,9
Meuna,0,1,0,11,4
Satori,0,1,0,10,4
marginfi,0,1,0,10,6
Scroll Name Service,0,0,0,8,2
Aori,0,1,0,8,5
GRVT,0,0,1,6,5
ShanHai,0,1,1,7,5
Tezos Domains,1,1,0,16,6
Derivio,0,1,0,8,4
Celestia,0,1,0,23,7
Base,0,1,0,12,4
BlueLight,0,1,1,9,9
Forcefi,0,1,0,5,3
